player,year,wins,losses
Daniele Bracciali,2004,1,2
Daniele Bracciali,2005,5,7
Daniele Bracciali,2006,13,17
Daniele Bracciali,2007,7,13
Daniil Medvedev,2014,1,1
Daniil Medvedev,2015,4,4
Daniil Medvedev,2016,10,6
Daniil Medvedev,2017,20,20
Daniil Medvedev,2018,47,21
Daniil Medvedev,2019,49,17
Darian King,2015,2,2
Darian King,2016,2,4
Darian King,2017,13,8
Darian King,2018,4,8
Darian King,2019,3,4
David Ferrer,2002,7,6
David Ferrer,2003,11,20
David Ferrer,2004,15,17
David Ferrer,2005,33,21
David Ferrer,2006,30,19
David Ferrer,2007,51,19
David Ferrer,2008,32,16
David Ferrer,2009,33,17
David Ferrer,2010,48,15
David Ferrer,2011,44,14
David Ferrer,2012,61,14
David Ferrer,2013,50,16
David Ferrer,2014,50,19
David Ferrer,2015,45,13
David Ferrer,2016,27,19
David Ferrer,2017,22,18
David Ferrer,2018,7,15
David Ferrer,2019,8,6
David Goffin,2010,1,1
David Goffin,2011,9,5
David Goffin,2012,25,17
David Goffin,2013,15,18
David Goffin,2014,23,12
David Goffin,2015,30,18
David Goffin,2016,35,19
David Goffin,2017,44,19
David Goffin,2018,27,16
David Goffin,2019,28,21
David Guez,2007,7,7
David Guez,2008,2,5
David Guez,2009,1,4
David Guez,2010,9,10
David Guez,2011,4,4
David Guez,2012,4,4
David Guez,2013,1,5
David Guez,2014,6,4
David Guez,2015,6,5
David Guez,2016,4,6
David Marrero,2008,14,7
David Marrero,2009,2,6
David Marrero,2010,8,10
David Marrero,2011,2,4
David Marrero,2012,1,2
David Marrero,2015,1,2
David Nalbandian,2001,16,8
David Nalbandian,2002,32,17
David Nalbandian,2003,35,16
David Nalbandian,2004,22,10
David Nalbandian,2005,29,11
David Nalbandian,2006,30,12
David Nalbandian,2007,24,15
David Nalbandian,2008,13,9
David Nalbandian,2009,12,6
David Nalbandian,2010,15,7
David Nalbandian,2011,16,11
David Nalbandian,2012,15,14
David Nalbandian,2013,6,5
David Prinosil,1998,2,8
David Prinosil,1999,19,20
David Prinosil,2000,19,15
David Prinosil,2001,5,14
David Prinosil,2002,2,3
David Sanchez,2000,4,4
David Sanchez,2001,9,15
David Sanchez,2002,19,20
David Sanchez,2003,20,17
David Sanchez,2004,13,18
David Sanchez,2005,9,13
Davide Sanguinetti,1998,4,5
Davide Sanguinetti,1999,8,22
Davide Sanguinetti,2000,10,17
Davide Sanguinetti,2001,3,15
Davide Sanguinetti,2002,21,16
Davide Sanguinetti,2003,15,18
Davide Sanguinetti,2004,8,12
Davide Sanguinetti,2005,15,15
Davide Sanguinetti,2006,8,19
Davide Sanguinetti,2007,8,12
Davide Sanguinetti,2008,1,2
Denis Gremelmayr,2005,1,3
Denis Gremelmayr,2006,5,5
Denis Gremelmayr,2007,11,11
Denis Gremelmayr,2008,16,15
Denis Gremelmayr,2009,5,9
Denis Gremelmayr,2011,12,11
Denis Gremelmayr,2012,7,7
Denis Istomin,2007,3,3
Denis Istomin,2008,6,4
Denis Istomin,2009,14,15
Denis Istomin,2010,26,22
Denis Istomin,2011,11,21
Denis Istomin,2012,28,25
Denis Istomin,2013,22,24
Denis Istomin,2014,22,19
Denis Istomin,2015,13,22
Denis Istomin,2016,8,21
Denis Istomin,2017,17,22
Denis Istomin,2018,13,20
Denis Istomin,2019,8,13
Denis Kudla,2010,1,1
Denis Kudla,2011,10,8
Denis Kudla,2012,14,11
Denis Kudla,2013,15,15
Denis Kudla,2014,7,5
Denis Kudla,2015,24,17
Denis Kudla,2016,12,20
Denis Kudla,2017,8,8
Denis Kudla,2018,33,20
Denis Kudla,2019,10,21
Denis Shapovalov,2016,1,2
Denis Shapovalov,2017,10,9
Denis Shapovalov,2018,29,22
Denis Shapovalov,2019,25,21
Dennis Novak,2012,1,1
Dennis Novak,2013,4,2
Dennis Novak,2014,1,3
Dennis Novak,2015,1,1
Dennis Novak,2016,3,4
Dennis Novak,2017,3,1
Dennis Novak,2018,15,8
Dennis Novak,2019,3,3
Dennis Novikov,2012,1,3
Dennis Novikov,2015,3,5
Dennis Novikov,2016,18,14
Dennis Novikov,2017,9,8
Dennis Novikov,2018,3,8
Dennis Van Scheppingen,1998,3,2
Dennis Van Scheppingen,2000,1,2
Dennis Van Scheppingen,2001,1,2
Dennis Van Scheppingen,2003,6,6
Dennis Van Scheppingen,2004,7,12
Dennis Van Scheppingen,2007,2,4
Di Wu,2012,1,3
Di Wu,2013,5,5
Di Wu,2014,2,5
Di Wu,2016,5,5
Di Wu,2017,3,6
Di Wu,2018,1,4
Dick Norman,2003,3,5
Dick Norman,2004,1,4
Dick Norman,2005,1,6
Dick Norman,2006,2,5
Dick Norman,2007,5,6
Dick Norman,2009,7,4
Dick Norman,2010,1,2
Diego Hartfield,2006,2,2
Diego Hartfield,2007,14,18
Diego Hartfield,2008,7,8
Diego Junqueira,2006,2,1
Diego Junqueira,2007,6,6
Diego Junqueira,2008,5,3
Diego Junqueira,2009,6,14
Diego Junqueira,2010,6,4
Diego Junqueira,2011,10,8
Diego Junqueira,2012,5,8
Diego Junqueira,2013,1,2
Diego Schwartzman,2011,1,1
Diego Schwartzman,2012,1,2
Diego Schwartzman,2013,16,10
Diego Schwartzman,2014,8,11
Diego Schwartzman,2015,15,17
Diego Schwartzman,2016,17,15
Diego Schwartzman,2017,34,24
Diego Schwartzman,2018,28,22
Diego Schwartzman,2019,34,20
Dieter Kindlmann,2006,1,3
Dieter Kindlmann,2007,3,4
Dieter Kindlmann,2008,2,2
Dieter Kindlmann,2009,13,7
Dieter Kindlmann,2010,9,9
Dieter Kindlmann,2011,1,4
Dieter Kindlmann,2012,2,1
Dmitry Tursunov,2003,2,3
Dmitry Tursunov,2004,5,10
Dmitry Tursunov,2005,12,11
Dmitry Tursunov,2006,21,22
Dmitry Tursunov,2007,25,19
Dmitry Tursunov,2008,30,15
Dmitry Tursunov,2009,16,16
Dmitry Tursunov,2010,8,8
Dmitry Tursunov,2011,17,14
Dmitry Tursunov,2012,7,10
Dmitry Tursunov,2013,34,20
Dmitry Tursunov,2014,12,17
Dmitry Tursunov,2015,1,1
Dmitry Tursunov,2016,1,6
Dmitry Tursunov,2017,1,4
Dominic Thiem,2011,1,2
Dominic Thiem,2013,7,3
Dominic Thiem,2014,36,19
Dominic Thiem,2015,30,19
Dominic Thiem,2016,54,19
Dominic Thiem,2017,46,23
Dominic Thiem,2018,47,19
Dominic Thiem,2019,35,14
Dominik Hrbaty,1998,6,8
Dominik Hrbaty,1999,34,27
Dominik Hrbaty,2000,33,23
Dominik Hrbaty,2001,17,13
Dominik Hrbaty,2002,17,20
Dominik Hrbaty,2003,22,19
Dominik Hrbaty,2004,38,16
Dominik Hrbaty,2005,19,18
Dominik Hrbaty,2006,19,19
Dominik Hrbaty,2007,9,19
Dominik Hrbaty,2008,3,8
Dominik Hrbaty,2009,13,7
Dominik Hrbaty,2012,1,1
Dominik Meffert,2006,1,1
Dominik Meffert,2007,11,5
Dominik Meffert,2008,2,5
Dominik Meffert,2009,8,7
Dominik Meffert,2010,4,4
Dominik Meffert,2011,5,8
Dominik Meffert,2012,4,8
Dominik Meffert,2013,2,4
Donald Young,2007,3,4
Donald Young,2008,8,18
Donald Young,2009,4,7
Donald Young,2010,8,9
Donald Young,2011,31,18
Donald Young,2012,6,22
Donald Young,2013,11,7
Donald Young,2014,18,18
Donald Young,2015,27,21
Donald Young,2016,14,14
Donald Young,2017,20,18
Donald Young,2018,8,14
Donald Young,2019,3,3
Dudi Sela,2007,13,9
Dudi Sela,2008,13,18
Dudi Sela,2009,15,17
Dudi Sela,2010,12,14
Dudi Sela,2011,5,10
Dudi Sela,2012,14,17
Dudi Sela,2013,10,7
Dudi Sela,2014,12,16
Dudi Sela,2015,6,10
Dudi Sela,2016,10,16
Dudi Sela,2017,11,12
Dudi Sela,2018,6,8
Dusan Lajovic,2011,7,4
Dusan Lajovic,2012,9,10
Dusan Lajovic,2013,16,12
Dusan Lajovic,2014,25,21
Dusan Lajovic,2015,22,21
Dusan Lajovic,2016,17,19
Dusan Lajovic,2017,20,23
Dusan Lajovic,2018,32,25
Dusan Lajovic,2019,14,22
Dusan Vemic,2003,1,1
Dusan Vemic,2005,1,1
Dusan Vemic,2006,1,1
Dusan Vemic,2007,12,7
Dusan Vemic,2008,9,9
Dusan Vemic,2009,4,8
Dustin Brown,2010,13,12
Dustin Brown,2011,4,12
Dustin Brown,2012,19,13
Dustin Brown,2013,18,10
Dustin Brown,2014,13,14
Dustin Brown,2015,18,16
Dustin Brown,2016,15,11
Dustin Brown,2017,9,18
Dustin Brown,2018,6,11
Dustin Brown,2019,4,1
Edouard Roger-Vasselin,2004,1,1
Edouard Roger-Vasselin,2007,13,13
Edouard Roger-Vasselin,2008,7,8
Edouard Roger-Vasselin,2009,4,5
Edouard Roger-Vasselin,2010,8,12
Edouard Roger-Vasselin,2011,21,15
Edouard Roger-Vasselin,2012,21,21
Edouard Roger-Vasselin,2013,23,19
Edouard Roger-Vasselin,2014,12,21
Edouard Roger-Vasselin,2015,15,15
Edouard Roger-Vasselin,2016,11,10
Eduardo Schwank,2007,6,4
Eduardo Schwank,2008,21,13
Eduardo Schwank,2009,5,11
Eduardo Schwank,2010,16,21
Eduardo Schwank,2011,4,9
Eduardo Schwank,2012,16,12
Egor Gerasimov,2013,2,1
Egor Gerasimov,2014,3,6
Egor Gerasimov,2015,2,2
Egor Gerasimov,2016,1,4
Egor Gerasimov,2017,1,3
Egor Gerasimov,2018,6,10
Egor Gerasimov,2019,19,14
Elias Ymer,2013,1,2
Elias Ymer,2014,2,4
Elias Ymer,2015,18,11
Elias Ymer,2016,4,7
Elias Ymer,2017,5,10
Elias Ymer,2018,14,12
Elias Ymer,2019,7,8
Ernesto Escobedo,2014,2,1
Ernesto Escobedo,2016,8,6
Ernesto Escobedo,2017,17,18
Ernesto Escobedo,2018,12,12
Ernesto Escobedo,2019,1,2
Ernests Gulbis,2007,11,16
Ernests Gulbis,2008,15,12
Ernests Gulbis,2009,13,21
Ernests Gulbis,2010,20,14
Ernests Gulbis,2011,18,14
Ernests Gulbis,2012,14,15
Ernests Gulbis,2013,36,16
Ernests Gulbis,2014,37,17
Ernests Gulbis,2015,9,19
Ernests Gulbis,2016,11,16
Ernests Gulbis,2017,8,11
Ernests Gulbis,2018,16,10
Ernests Gulbis,2019,6,21
Evgeny Donskoy,2009,1,2
Evgeny Donskoy,2010,6,5
Evgeny Donskoy,2011,4,6
Evgeny Donskoy,2012,3,10
Evgeny Donskoy,2013,10,16
Evgeny Donskoy,2014,8,12
Evgeny Donskoy,2015,17,10
Evgeny Donskoy,2016,8,17
Evgeny Donskoy,2017,14,14
Evgeny Donskoy,2018,18,24
Evgeny Donskoy,2019,3,10
Evgeny Korolev,2006,6,5
Evgeny Korolev,2007,25,23
Evgeny Korolev,2008,19,16
Evgeny Korolev,2009,25,19
Evgeny Korolev,2010,10,19
Evgeny Korolev,2011,2,7
Evgeny Korolev,2012,11,7
Evgeny Korolev,2013,11,7
Evgeny Korolev,2015,1,1
Fabio Fognini,2007,24,17
Fabio Fognini,2008,16,17
Fabio Fognini,2009,22,20
Fabio Fognini,2010,14,24
Fabio Fognini,2011,16,23
Fabio Fognini,2012,20,19
Fabio Fognini,2013,35,22
Fabio Fognini,2014,33,21
Fabio Fognini,2015,23,20
Fabio Fognini,2016,14,17
Fabio Fognini,2017,26,19
Fabio Fognini,2018,35,20
Fabio Fognini,2019,28,19
Fabrice Santoro,1998,8,8
Fabrice Santoro,1999,33,22
Fabrice Santoro,2000,26,20
Fabrice Santoro,2001,21,15
Fabrice Santoro,2002,21,19
Fabrice Santoro,2003,11,16
Fabrice Santoro,2004,11,12
Fabrice Santoro,2005,10,12
Fabrice Santoro,2006,16,18
Fabrice Santoro,2007,24,18
Fabrice Santoro,2008,16,12
Fabrice Santoro,2009,13,15
Facundo Arguello,2012,4,2
Facundo Arguello,2013,9,6
Facundo Arguello,2014,1,7
Facundo Arguello,2015,12,9
Facundo Arguello,2016,3,8
Facundo Bagnis,2010,3,4
Facundo Bagnis,2011,8,7
Facundo Bagnis,2012,7,10
Facundo Bagnis,2013,4,8
Facundo Bagnis,2014,14,8
Facundo Bagnis,2015,12,12
Facundo Bagnis,2016,11,10
Facundo Bagnis,2017,6,13
Facundo Bagnis,2018,12,9
Facundo Bagnis,2019,9,5
Farrukh Dustov,2007,4,4
Farrukh Dustov,2008,1,3
Farrukh Dustov,2010,2,2
Farrukh Dustov,2012,7,6
Farrukh Dustov,2013,6,7
Farrukh Dustov,2014,1,5
Farrukh Dustov,2015,4,9
Farrukh Dustov,2016,2,6
Federico Delbonis,2010,4,9
Federico Delbonis,2011,4,10
Federico Delbonis,2012,25,11
Federico Delbonis,2013,17,9
Federico Delbonis,2014,19,23
Federico Delbonis,2015,15,19
Federico Delbonis,2016,22,19
Federico Delbonis,2017,7,8
Federico Delbonis,2018,13,18
Federico Delbonis,2019,15,17
Federico Luzzi,2001,5,6
Federico Luzzi,2002,1,4
Federico Luzzi,2005,3,5
Federico Luzzi,2006,1,2
Federico Luzzi,2007,12,12
Federico Luzzi,2008,1,2
Feliciano Lopez,2001,2,3
Feliciano Lopez,2002,13,12
Feliciano Lopez,2003,19,22
Feliciano Lopez,2004,22,18
Feliciano Lopez,2005,27,19
Feliciano Lopez,2006,14,21
Feliciano Lopez,2007,27,21
Feliciano Lopez,2008,17,19
Feliciano Lopez,2009,14,16
Feliciano Lopez,2010,26,20
Feliciano Lopez,2011,30,20
Feliciano Lopez,2012,25,24
Feliciano Lopez,2013,20,13
Feliciano Lopez,2014,30,19
Feliciano Lopez,2015,25,21
Feliciano Lopez,2016,22,19
Feliciano Lopez,2017,14,21
Feliciano Lopez,2018,22,23
Feliciano Lopez,2019,16,15
Felix Auger-Aliassime,2017,1,1
Felix Auger-Aliassime,2018,13,14
Felix Auger-Aliassime,2019,34,17
Felix Mantilla,1998,7,4
Felix Mantilla,1999,33,21
Felix Mantilla,2000,15,15
Felix Mantilla,2001,19,14
Felix Mantilla,2002,20,20
Felix Mantilla,2003,27,15
Felix Mantilla,2004,12,11
Felix Mantilla,2005,13,14
Felix Mantilla,2007,1,2
Fernando Gonzalez,1999,1,1
Fernando Gonzalez,2000,7,3
Fernando Gonzalez,2001,3,7
Fernando Gonzalez,2002,32,16
Fernando Gonzalez,2003,30,18
Fernando Gonzalez,2004,32,15
Fernando Gonzalez,2005,38,15
Fernando Gonzalez,2006,36,15
Fernando Gonzalez,2007,26,16
Fernando Gonzalez,2008,28,13
Fernando Gonzalez,2009,31,11
Fernando Gonzalez,2010,13,9
Fernando Gonzalez,2011,3,4
Fernando Gonzalez,2012,3,4
Fernando Meligeni,1998,9,6
Fernando Meligeni,1999,25,23
Fernando Meligeni,2000,9,17
Fernando Meligeni,2001,11,13
Fernando Meligeni,2002,17,20
Fernando Meligeni,2003,6,8
Fernando Verdasco,2002,1,2
Fernando Verdasco,2003,6,8
Fernando Verdasco,2004,21,18
Fernando Verdasco,2005,25,20
Fernando Verdasco,2006,18,19
Fernando Verdasco,2007,27,21
Fernando Verdasco,2008,36,20
Fernando Verdasco,2009,34,17
Fernando Verdasco,2010,39,14
Fernando Verdasco,2011,30,19
Fernando Verdasco,2012,31,19
Fernando Verdasco,2013,25,21
Fernando Verdasco,2014,22,16
Fernando Verdasco,2015,21,19
Fernando Verdasco,2016,18,15
Fernando Verdasco,2017,25,21
Fernando Verdasco,2018,29,25
Fernando Verdasco,2019,20,19
Fernando Vicente,1998,5,5
Fernando Vicente,1999,21,26
Fernando Vicente,2000,24,27
Fernando Vicente,2001,19,17
Fernando Vicente,2002,19,24
Fernando Vicente,2003,17,23
Fernando Vicente,2004,1,2
Fernando Vicente,2005,2,4
Fernando Vicente,2006,2,11
Fernando Vicente,2007,5,6
Fernando Vicente,2009,4,6
Fernando Vicente,2010,1,3
Filip Krajinovic,2010,4,8
Filip Krajinovic,2012,6,4
Filip Krajinovic,2013,2,2
Filip Krajinovic,2014,14,9
Filip Krajinovic,2015,13,15
Filip Krajinovic,2016,3,4
Filip Krajinovic,2017,10,5
Filip Krajinovic,2018,13,15
Filip Krajinovic,2019,24,13
Filippo Volandri,2003,13,12
Filippo Volandri,2004,17,18
Filippo Volandri,2005,18,21
Filippo Volandri,2006,14,20
Filippo Volandri,2007,17,20
Filippo Volandri,2008,3,11
Filippo Volandri,2009,4,3
Filippo Volandri,2010,11,9
Filippo Volandri,2011,11,18
Filippo Volandri,2012,10,18
Filippo Volandri,2013,6,13
Filippo Volandri,2014,2,15
Filippo Volandri,2015,4,5
Filippo Volandri,2016,1,4
Flavio Cipolla,2007,6,5
Flavio Cipolla,2008,10,10
Flavio Cipolla,2009,19,16
Flavio Cipolla,2010,9,11
Flavio Cipolla,2011,24,15
Flavio Cipolla,2012,22,25
Flavio Cipolla,2013,7,14
Flavio Cipolla,2014,4,9
Flavio Saretta,2001,3,2
Flavio Saretta,2002,9,12
Flavio Saretta,2003,19,13
Flavio Saretta,2004,9,14
Flavio Saretta,2005,3,5
Flavio Saretta,2006,4,9
Flavio Saretta,2007,5,4
Flavio Saretta,2008,1,2
Florent Serra,2005,2,5
Florent Serra,2006,21,21
Florent Serra,2007,20,25
Florent Serra,2008,19,20
Florent Serra,2009,13,20
Florent Serra,2010,14,22
Florent Serra,2011,7,13
Florent Serra,2012,22,11
Florent Serra,2013,13,11
Florent Serra,2015,1,1
Florian Mayer,2004,15,12
Florian Mayer,2005,16,18
Florian Mayer,2006,16,15
Florian Mayer,2007,16,24
Florian Mayer,2008,2,7
Florian Mayer,2009,8,4
Florian Mayer,2010,21,15
Florian Mayer,2011,35,20
Florian Mayer,2012,17,21
Florian Mayer,2013,20,19
Florian Mayer,2014,4,6
Florian Mayer,2015,3,8
Florian Mayer,2016,14,10
Florian Mayer,2017,6,13
Florian Mayer,2018,5,18
Frances Tiafoe,2014,1,2
Frances Tiafoe,2015,5,7
Frances Tiafoe,2016,4,7
Frances Tiafoe,2017,15,16
Frances Tiafoe,2018,23,22
Frances Tiafoe,2019,18,21
Francisco Clavet,1998,9,6
Francisco Clavet,1999,26,24
Francisco Clavet,2000,24,26
Francisco Clavet,2001,18,16
Francisco Clavet,2002,9,16
Francisco Clavet,2003,2,4
Franco Squillari,1998,2,4
Franco Squillari,1999,16,20
Franco Squillari,2000,27,20
Franco Squillari,2001,14,17
Franco Squillari,2002,16,20
Franco Squillari,2003,14,15
Franco Squillari,2004,7,6
Frank Dancevic,2002,1,2
Frank Dancevic,2005,1,3
Frank Dancevic,2006,3,3
Frank Dancevic,2007,22,19
Frank Dancevic,2008,5,9
Frank Dancevic,2009,21,14
Frank Dancevic,2010,6,6
Frank Dancevic,2011,19,9
Frank Dancevic,2012,5,8
Frank Dancevic,2013,11,8
Frank Dancevic,2014,9,7
Frank Dancevic,2015,7,9
Frank Dancevic,2016,8,5
Frank Dancevic,2017,6,4
Frank Dancevic,2018,2,5
Franko Skugor,2007,2,3
Franko Skugor,2008,3,4
Franko Skugor,2009,1,1
Franko Skugor,2010,10,5
Franko Skugor,2011,9,8
Franko Skugor,2012,2,4
Franko Skugor,2013,2,3
Franko Skugor,2015,1,2
Franko Skugor,2016,10,8
Franko Skugor,2017,7,7
Franko Skugor,2018,4,6
Franko Skugor,2019,3,3
Frantisek Cermak,2003,3,5
Frantisek Cermak,2004,1,2
Frantisek Cermak,2005,2,2
Frantisek Cermak,2007,5,6
Frantisek Cermak,2008,2,4
Frantisek Cermak,2009,4,3
Frantisek Cermak,2010,3,1
Frantisek Cermak,2011,3,6
Frantisek Cermak,2012,2,2
Frantisek Cermak,2013,1,3
Fred Gil,2006,2,1
Fred Gil,2007,6,3
Fred Gil,2008,8,4
Fred Gil,2009,16,12
Fred Gil,2010,12,16
Fred Gil,2011,15,19
Fred Gil,2012,15,17
Fred Gil,2013,3,4
Fred Gil,2014,2,3
Fred Gil,2015,2,2
Fred Gil,2018,1,1
Frederik Nielsen,2007,3,3
Frederik Nielsen,2008,2,3
Frederik Nielsen,2009,3,3
Frederik Nielsen,2011,7,5
Frederik Nielsen,2012,3,3
Frederik Nielsen,2013,8,5
Gael Monfils,2005,14,15
Gael Monfils,2006,13,14
Gael Monfils,2007,16,18
Gael Monfils,2008,19,13
Gael Monfils,2009,31,12
Gael Monfils,2010,37,15
Gael Monfils,2011,33,14
Gael Monfils,2012,20,10
Gael Monfils,2013,31,17
Gael Monfils,2014,24,12
Gael Monfils,2015,28,14
Gael Monfils,2016,39,12
Gael Monfils,2017,20,13
Gael Monfils,2018,29,18
Gael Monfils,2019,33,15
Galo Blanco,1998,5,6
Galo Blanco,1999,14,16
Galo Blanco,2000,12,18
Galo Blanco,2001,15,15
Galo Blanco,2002,8,16
Galo Blanco,2003,6,5
Galo Blanco,2004,7,10
Galo Blanco,2006,1,1
Gastao Elias,2010,2,1
Gastao Elias,2011,2,3
Gastao Elias,2013,9,9
Gastao Elias,2014,17,10
Gastao Elias,2015,4,10
Gastao Elias,2016,11,8
Gastao Elias,2017,9,11
Gastao Elias,2018,4,11
Gaston Gaudio,1999,8,13
Gaston Gaudio,2000,22,20
Gaston Gaudio,2001,13,14
Gaston Gaudio,2002,36,13
Gaston Gaudio,2003,30,19
Gaston Gaudio,2004,27,13
Gaston Gaudio,2005,46,13
Gaston Gaudio,2006,20,16
Gaston Gaudio,2007,6,15
Gaston Gaudio,2009,1,5
Gaston Gaudio,2010,2,5
George Bastl,1999,6,7
George Bastl,2000,11,18
George Bastl,2001,8,13
George Bastl,2002,3,6
George Bastl,2005,3,5
George Bastl,2006,3,5
George Bastl,2007,15,20
George Bastl,2008,7,8
George Bastl,2009,6,13
George Bastl,2010,2,5
George Bastl,2011,1,3
Gerald Melzer,2010,3,1
Gerald Melzer,2013,5,5
Gerald Melzer,2014,4,7
Gerald Melzer,2015,14,11
Gerald Melzer,2016,5,4
Gerald Melzer,2017,11,10
Gerald Melzer,2018,6,10
Gianluca Naso,2007,2,2
Gianluca Naso,2008,14,10
Gianluca Naso,2009,2,5
Gianluca Naso,2011,4,6
Gianluca Naso,2012,6,9
Gianluca Naso,2013,7,8
Gianluca Naso,2016,1,2
Gianluca Pozzi,1998,4,6
Gianluca Pozzi,1999,14,24
Gianluca Pozzi,2000,17,18
Gianluca Pozzi,2001,5,14
Gilles Muller,2004,10,7
Gilles Muller,2005,15,19
Gilles Muller,2006,10,14
Gilles Muller,2007,5,8
Gilles Muller,2008,9,8
Gilles Muller,2009,9,9
Gilles Muller,2010,7,5
Gilles Muller,2011,15,11
Gilles Muller,2012,17,19
Gilles Muller,2014,5,4
Gilles Muller,2015,25,19
Gilles Muller,2016,28,20
Gilles Muller,2017,23,15
Gilles Muller,2018,8,17
Gilles Simon,2005,5,4
Gilles Simon,2006,18,16
Gilles Simon,2007,29,24
Gilles Simon,2008,43,19
Gilles Simon,2009,28,16
Gilles Simon,2010,12,11
Gilles Simon,2011,30,16
Gilles Simon,2012,36,20
Gilles Simon,2013,23,16
Gilles Simon,2014,26,19
Gilles Simon,2015,29,15
Gilles Simon,2016,26,20
Gilles Simon,2017,14,20
Gilles Simon,2018,33,24
Gilles Simon,2019,19,21
Giovanni Lapentti,2003,1,2
Giovanni Lapentti,2005,5,4
Giovanni Lapentti,2008,2,2
Giovanni Lapentti,2009,10,10
Giovanni Lapentti,2010,9,9
Giovanni Lapentti,2011,2,5
Giovanni Lapentti,2014,2,3
Giovanni Lapentti,2015,1,5
Giovanni Lapentti,2016,1,4
Giovanni Lapentti,2017,1,1
Go Soeda,2007,4,7
Go Soeda,2008,5,8
Go Soeda,2009,4,7
Go Soeda,2010,3,6
Go Soeda,2011,8,8
Go Soeda,2012,17,17
Go Soeda,2013,9,11
Go Soeda,2014,2,8
Go Soeda,2015,9,13
Go Soeda,2016,4,7
Go Soeda,2017,6,7
Go Soeda,2018,3,5
Goran Ivanisevic,1998,15,7
Goran Ivanisevic,1999,18,22
Goran Ivanisevic,2000,5,18
Goran Ivanisevic,2001,12,11
Goran Ivanisevic,2002,3,6
Goran Ivanisevic,2004,4,7
Greg Jones,2008,1,2
Greg Jones,2009,1,3
Greg Jones,2010,5,9
Greg Jones,2011,11,9
Greg Jones,2012,4,6
Greg Jones,2013,7,4
Greg Rusedski,1998,21,6
Greg Rusedski,1999,42,22
Greg Rusedski,2000,12,15
Greg Rusedski,2001,23,13
Greg Rusedski,2002,29,12
Greg Rusedski,2003,10,7
Greg Rusedski,2004,12,9
Greg Rusedski,2005,12,16
Greg Rusedski,2006,5,12
Grega Zemlja,2008,2,1
Grega Zemlja,2009,6,6
Grega Zemlja,2010,10,9
Grega Zemlja,2011,10,10
Grega Zemlja,2012,17,13
Grega Zemlja,2013,10,18
Grega Zemlja,2015,1,2
Grega Zemlja,2016,4,6
Grega Zemlja,2017,1,3
Gregory Carraz,2002,2,4
Gregory Carraz,2003,11,10
Gregory Carraz,2004,8,12
Gregory Carraz,2005,3,7
Gregory Carraz,2007,1,1
Grigor Dimitrov,2008,1,3
Grigor Dimitrov,2009,2,5
Grigor Dimitrov,2010,1,2
Grigor Dimitrov,2011,21,18
Grigor Dimitrov,2012,24,18
Grigor Dimitrov,2013,29,19
Grigor Dimitrov,2014,42,15
Grigor Dimitrov,2015,24,17
Grigor Dimitrov,2016,33,20
Grigor Dimitrov,2017,43,16
Grigor Dimitrov,2018,23,18
Grigor Dimitrov,2019,21,14
Guido Andreozzi,2012,3,2
Guido Andreozzi,2013,4,5
Guido Andreozzi,2014,4,5
Guido Andreozzi,2015,4,8
Guido Andreozzi,2016,5,4
Guido Andreozzi,2017,9,6
Guido Andreozzi,2018,7,9
Guido Andreozzi,2019,10,16
Guido Pella,2007,1,1
Guido Pella,2010,2,2
Guido Pella,2012,5,5
Guido Pella,2013,12,13
Guido Pella,2014,5,7
Guido Pella,2015,13,9
Guido Pella,2016,13,17
Guido Pella,2017,18,13
Guido Pella,2018,25,25
Guido Pella,2019,30,19
Guilherme Clezar,2013,6,8
Guilherme Clezar,2014,2,5
Guilherme Clezar,2015,10,10
Guilherme Clezar,2016,4,6
Guilherme Clezar,2017,4,4
Guilherme Clezar,2018,5,7
Guillaume Rufin,2009,1,2
Guillaume Rufin,2010,10,9
Guillaume Rufin,2011,7,4
Guillaume Rufin,2012,16,10
Guillaume Rufin,2013,18,15
Guillermo Canas,1999,13,20
Guillermo Canas,2000,4,11
Guillermo Canas,2001,20,10
Guillermo Canas,2002,27,16
Guillermo Canas,2003,3,2
Guillermo Canas,2004,22,15
Guillermo Canas,2005,19,9
Guillermo Canas,2007,41,18
Guillermo Canas,2008,16,15
Guillermo Canas,2009,5,11
Guillermo Coria,2000,3,3
Guillermo Coria,2001,20,8
Guillermo Coria,2002,14,10
Guillermo Coria,2003,42,12
Guillermo Coria,2004,32,10
Guillermo Coria,2005,40,16
Guillermo Coria,2006,7,9
Guillermo Coria,2008,2,6
Guillermo Garcia-Lopez,2004,2,5
Guillermo Garcia-Lopez,2005,15,20
Guillermo Garcia-Lopez,2006,11,12
Guillermo Garcia-Lopez,2007,20,24
Guillermo Garcia-Lopez,2008,17,19
Guillermo Garcia-Lopez,2009,20,19
Guillermo Garcia-Lopez,2010,22,20
Guillermo Garcia-Lopez,2011,19,23
Guillermo Garcia-Lopez,2012,25,23
Guillermo Garcia-Lopez,2013,17,16
Guillermo Garcia-Lopez,2014,22,20
Guillermo Garcia-Lopez,2015,28,19
Guillermo Garcia-Lopez,2016,18,22
Guillermo Garcia-Lopez,2017,10,14
Guillermo Garcia-Lopez,2018,22,26
Guillermo Garcia-Lopez,2019,12,12
Gustavo Kuerten,1998,9,5
Gustavo Kuerten,1999,46,23
Gustavo Kuerten,2000,52,16
Gustavo Kuerten,2001,37,9
