player,year,wins,losses
Alberto Martin,2009,8,15
Alberto Martin,2010,13,9
Aldin Setkic,2012,1,1
Aldin Setkic,2013,4,7
Aldin Setkic,2014,1,3
Aldin Setkic,2015,3,8
Aldin Setkic,2016,4,6
Aldin Setkic,2017,2,6
Aldin Setkic,2018,1,3
Alejandro Falla,2004,5,7
Alejandro Falla,2006,3,5
Alejandro Falla,2007,28,21
Alejandro Falla,2008,8,12
Alejandro Falla,2009,16,8
Alejandro Falla,2010,11,18
Alejandro Falla,2011,24,17
Alejandro Falla,2012,16,21
Alejandro Falla,2013,7,14
Alejandro Falla,2014,11,17
Alejandro Falla,2015,24,18
Alejandro Falla,2016,7,11
Alejandro Falla,2017,3,2
Alejandro Gonzalez,2010,1,2
Alejandro Gonzalez,2012,2,5
Alejandro Gonzalez,2013,2,6
Alejandro Gonzalez,2014,10,17
Alejandro Gonzalez,2015,16,18
Alejandro Gonzalez,2016,9,8
Alejandro Gonzalez,2017,5,4
Alejandro Gonzalez,2018,2,2
Aleksandr Nedovyesov,2012,1,2
Aleksandr Nedovyesov,2013,5,6
Aleksandr Nedovyesov,2014,3,15
Aleksandr Nedovyesov,2015,7,7
Aleksandr Nedovyesov,2016,6,5
Aleksandr Nedovyesov,2017,1,2
Aleksandr Nedovyesov,2018,1,2
Alessandro Giannessi,2012,11,9
Alessandro Giannessi,2013,2,5
Alessandro Giannessi,2014,5,5
Alessandro Giannessi,2016,6,6
Alessandro Giannessi,2017,9,16
Alessandro Giannessi,2018,8,10
Alessandro Giannessi,2019,6,5
Alessio Di Mauro,2005,3,5
Alessio Di Mauro,2006,7,9
Alessio Di Mauro,2007,5,12
Alessio Di Mauro,2010,3,1
Alessio Di Mauro,2011,2,3
Alessio Di Mauro,2012,3,2
Alex Bogdanovic,2003,2,2
Alex Bogdanovic,2006,2,2
Alex Bogdanovic,2007,5,13
Alex Bogdanovic,2008,6,7
Alex Bogdanovic,2009,6,6
Alex Bogdanovic,2010,5,6
Alex Bogdanovic,2011,3,3
Alex Bogdanovic,2013,1,1
Alex Bogomolov Jr.,2003,5,8
Alex Bogomolov Jr.,2004,4,10
Alex Bogomolov Jr.,2006,1,1
Alex Bogomolov Jr.,2007,2,2
Alex Bogomolov Jr.,2008,6,6
Alex Bogomolov Jr.,2009,7,6
Alex Bogomolov Jr.,2010,12,10
Alex Bogomolov Jr.,2011,34,20
Alex Bogomolov Jr.,2012,16,25
Alex Bogomolov Jr.,2013,15,14
Alex Bogomolov Jr.,2014,5,9
Alex Bolt,2013,2,5
Alex Bolt,2014,4,5
Alex Bolt,2015,2,3
Alex Bolt,2017,5,3
Alex Bolt,2018,13,10
Alex Bolt,2019,6,6
Alex Calatrava,1999,1,7
Alex Calatrava,2000,15,10
Alex Calatrava,2001,15,20
Alex Calatrava,2002,3,6
Alex Calatrava,2004,4,5
Alex Calatrava,2005,4,15
Alex Calatrava,2006,1,2
Alex Calatrava,2007,1,2
Alex Corretja,1998,6,4
Alex Corretja,1999,30,19
Alex Corretja,2000,45,15
Alex Corretja,2001,26,13
Alex Corretja,2002,27,12
Alex Corretja,2003,10,17
Alex Corretja,2004,8,15
Alex Corretja,2005,1,5
Alex Kuznetsov,2007,7,9
Alex Kuznetsov,2008,4,7
Alex Kuznetsov,2009,2,2
Alex Kuznetsov,2010,3,4
Alex Kuznetsov,2011,9,9
Alex Kuznetsov,2012,13,13
Alex Kuznetsov,2013,14,11
Alex Kuznetsov,2014,9,10
Alex Kuznetsov,2015,5,7
Alex Kuznetsov,2016,5,3
Alex de Minaur,2017,9,11
Alex de Minaur,2018,33,21
Alex de Minaur,2019,21,16
Alexander Bublik,2017,10,9
Alexander Bublik,2018,7,9
Alexander Bublik,2019,12,14
Alexander Kudryavtsev,2007,4,2
Alexander Kudryavtsev,2008,11,9
Alexander Kudryavtsev,2009,5,5
Alexander Kudryavtsev,2010,5,3
Alexander Kudryavtsev,2011,5,5
Alexander Kudryavtsev,2012,4,7
Alexander Kudryavtsev,2013,6,3
Alexander Kudryavtsev,2014,4,2
Alexander Kudryavtsev,2015,6,6
Alexander Kudryavtsev,2016,6,7
Alexander Peya,2001,2,2
Alexander Peya,2004,4,8
Alexander Peya,2006,2,3
Alexander Peya,2007,10,12
Alexander Peya,2008,11,9
Alexander Peya,2009,18,10
Alexander Peya,2010,2,4
Alexander Peya,2011,7,8
Alexander Popp,1999,1,1
Alexander Popp,2000,6,7
Alexander Popp,2001,3,9
Alexander Popp,2002,6,6
Alexander Popp,2003,5,5
Alexander Popp,2004,4,8
Alexander Popp,2005,4,9
Alexander Waske,2002,4,5
Alexander Waske,2003,1,14
Alexander Waske,2004,2,2
Alexander Waske,2005,3,4
Alexander Waske,2006,5,14
Alexander Waske,2007,10,9
Alexander Zverev,2014,10,12
Alexander Zverev,2015,19,18
Alexander Zverev,2016,32,18
Alexander Zverev,2017,50,18
Alexander Zverev,2018,48,16
Alexander Zverev,2019,36,20
Alexandr Dolgopolov,2007,2,7
Alexandr Dolgopolov,2008,4,4
Alexandr Dolgopolov,2009,5,2
