player,tourney,date,elo,surface,year,month,day
Alexander Zverev,ATP Masters 1000 Shanghai,2016.10.09,1565.617986099723,Hard,2016,10.0,9.0
Alexander Zverev,Stockholm,2016.10.17,1556.3897535385906,Hard,2016,10.0,17.0
Alexander Zverev,Australian Open,2017.01.16,1551.1212569699185,Hard,2017,1.0,16.0
Alexander Zverev,Montpellier,2017.02.06,1608.472085475233,Hard,2017,2.0,6.0
Alexander Zverev,Rotterdam,2017.02.13,1580.9443953004861,Hard,2017,2.0,13.0
Alexander Zverev,Marseille,2017.02.20,1549.1578693874924,Hard,2017,2.0,20.0
Alexander Zverev,ATP Masters 1000 Indian Wells,2017.03.09,1535.0107485481271,Hard,2017,3.0,9.0
Alexander Zverev,ATP Masters 1000 Miami,2017.03.22,1569.2490050623633,Hard,2017,3.0,22.0
Alexander Zverev,ATP Masters 1000 Monte Carlo,2017.04.16,1572.3310598319613,Clay,2017,4.0,16.0
Alexander Zverev,Barcelona,2017.04.24,1545.3677218730927,Clay,2017,4.0,24.0
Alexander Zverev,Munich,2017.05.01,1592.102408720645,Clay,2017,5.0,1.0
Alexander Zverev,ATP Masters 1000 Madrid,2017.05.07,1611.4740719802148,Clay,2017,5.0,7.0
Alexander Zverev,ATP Masters 1000 Rome,2017.05.14,1705.7319672496392,Clay,2017,5.0,14.0
Alexander Zverev,Roland Garros,2017.05.28,1672.5248531559191,Clay,2017,5.0,28.0
Alexander Zverev,s-Hertogenbosch,2017.06.12,1651.0597935461747,Grass,2017,6.0,12.0
Alexander Zverev,Halle,2017.06.19,1679.498100660044,Grass,2017,6.0,19.0
Alexander Zverev,Wimbledon,2017.07.03,1660.3899203130293,Grass,2017,7.0,3.0
Alexander Zverev,Washington,2017.07.31,1701.8525760132418,Hard,2017,7.0,31.0
Alexander Zverev,ATP Masters 1000 Canada,2017.08.07,1765.7498658323486,Hard,2017,8.0,7.0
Alexander Zverev,ATP Masters 1000 Cincinnati,2017.08.13,1726.816955741333,Hard,2017,8.0,13.0
Alexander Zverev,US Open,2017.08.28,1693.0882569478274,Hard,2017,8.0,28.0
Alexander Zverev,Shenzhen,2017.09.25,1665.6021974172202,Hard,2017,9.0,25.0
Alexander Zverev,Beijing,2017.10.02,1662.9002186883,Hard,2017,10.0,2.0
Alexander Zverev,ATP Masters 1000 Shanghai,2017.10.08,1646.5961764595174,Hard,2017,10.0,8.0
Alexander Zverev,Vienna,2017.10.23,1632.4391050259876,Hard,2017,10.0,23.0
Alexander Zverev,ATP Masters 1000 Paris,2017.10.30,1598.2773231000208,Hard,2017,10.0,30.0
Alexander Zverev,Nitto ATP Finals,2017.11.12,1589.5925170830967,Hard,2017,11.0,12.0
Alexander Zverev,Australian Open,2018.01.15,1575.2369341634687,Hard,2018,1.0,15.0
Alexander Zverev,Rotterdam,2018.02.12,1553.212077949542,Hard,2018,2.0,12.0
Alexander Zverev,Acapulco,2018.02.26,1563.3361768604416,Hard,2018,2.0,26.0
Alexander Zverev,ATP Masters 1000 Indian Wells,2018.03.08,1528.6053771659867,Hard,2018,3.0,8.0
Alexander Zverev,ATP Masters 1000 Miami,2018.03.21,1582.1990545240924,Hard,2018,3.0,21.0
Alexander Zverev,ATP Masters 1000 Monte Carlo,2018.04.15,1590.2578434069094,Clay,2018,4.0,15.0
Alexander Zverev,Munich,2018.04.30,1629.821836443849,Clay,2018,4.0,30.0
