player,wins,losses,matches
Kristof Vliegen,65.0,94.0,159.0
Kyle Edmund,107.0,89.0,196.0
Lars Burgsmuller,64.0,108.0,172.0
Laslo Djere,46.0,50.0,96.0
Laurence Tieleman,22.0,35.0,57.0
Laurent Recouderc,25.0,33.0,58.0
Leonardo Mayer,167.0,176.0,343.0
Lleyton Hewitt,424.0,187.0,611.0
Lorenzo Giustino,24.0,29.0,53.0
Lorenzo Sonego,42.0,34.0,76.0
Luca Vanni,32.0,44.0,76.0
Lucas Pouille,120.0,103.0,223.0
Luis Horna,89.0,111.0,200.0
Luka Gregorc,36.0,35.0,71.0
Lukas Dlouhy,34.0,65.0,99.0
Lukas Lacko,134.0,149.0,283.0
Lukas Rosol,136.0,162.0,298.0
Lukasz Kubot,127.0,134.0,261.0
Mackenzie McDonald,38.0,45.0,83.0
Magnus Gustafsson,60.0,46.0,106.0
Magnus Larsson,41.0,38.0,79.0
Magnus Norman,141.0,87.0,228.0
Malek Jaziri,99.0,136.0,235.0
Marat Safin,287.0,176.0,463.0
Marc Gicquel,111.0,108.0,219.0
Marc Lopez,31.0,36.0,67.0
Marc Rosset,87.0,94.0,181.0
Marcel Granollers,206.0,223.0,429.0
Marcelo Rios,131.0,76.0,207.0
Marco Cecchinato,92.0,90.0,182.0
Marco Chiudinelli,102.0,119.0,221.0
Marco Crugnola,25.0,28.0,53.0
Marco Trungelliti,55.0,53.0,108.0
Marcos Baghdatis,264.0,225.0,489.0
Marcos Daniel,21.0,50.0,71.0
Mardy Fish,224.0,162.0,386.0
Mariano Puerta,89.0,83.0,172.0
Mariano Zabaleta,139.0,150.0,289.0
Marin Cilic,384.0,199.0,583.0
Marinko Matosevic,94.0,109.0,203.0
Mario Ancic,153.0,92.0,245.0
Marius Copil,116.0,125.0,241.0
Mark Philippoussis,135.0,91.0,226.0
Markus Hantschk,24.0,32.0,56.0
Markus Hipfl,40.0,52.0,92.0
Marsel Ilhan,94.0,102.0,196.0
Martin Alund,28.0,31.0,59.0
Martin Damm,30.0,44.0,74.0
Martin Fischer,76.0,59.0,135.0
Martin Klizan,159.0,132.0,291.0
Martin Vassallo Arguello,38.0,67.0,105.0
Martin Verkerk,54.0,58.0,112.0
Marton Fucsovics,86.0,88.0,174.0
Mate Pavic,21.0,30.0,51.0
Matteo Berrettini,69.0,44.0,113.0
Matteo Viola,42.0,54.0,96.0
Matthew Ebden,119.0,134.0,253.0
Matthias Bachinger,129.0,121.0,250.0
Matwe Middelkoop,20.0,32.0,52.0
Max Mirnyi,169.0,170.0,339.0
Maxime Teixeira,26.0,27.0,53.0
Maximilian Marterer,45.0,53.0,98.0
Maximo Gonzalez,69.0,79.0,148.0
Michael Berrer,181.0,162.0,343.0
Michael Chang,73.0,72.0,145.0
Michael Kohlmann,19.0,45.0,64.0
Michael Lammer,31.0,42.0,73.0
Michael Llodra,149.0,171.0,320.0
Michael Mmoh,22.0,31.0,53.0
Michael Russell,114.0,144.0,258.0
Michael Yani,43.0,45.0,88.0
Michal Przysiezny,62.0,81.0,143.0
Michal Tabara,34.0,38.0,72.0
Michel Kratochvil,51.0,68.0,119.0
Mikael Tillstrom,36.0,35.0,71.0
Mikhail Elgin,22.0,37.0,59.0
Mikhail Kukushkin,180.0,190.0,370.0
Mikhail Ledovskikh,34.0,40.0,74.0
Mikhail Youzhny,402.0,334.0,736.0
Milos Raonic,282.0,133.0,415.0
Miomir Kecmanovic,26.0,29.0,55.0
Mirza Basic,57.0,70.0,127.0
Mischa Zverev,207.0,230.0,437.0
Mitchell Krueger,21.0,30.0,51.0
Nick Kyrgios,125.0,76.0,201.0
Nicolas Almagro,317.0,218.0,535.0
Nicolas Devilder,47.0,62.0,109.0
Nicolas Escude,114.0,80.0,194.0
Nicolas Jarry,50.0,61.0,111.0
Nicolas Kicker,25.0,36.0,61.0
Nicolas Kiefer,225.0,168.0,393.0
Nicolas Lapentti,199.0,181.0,380.0
Nicolas Mahut,192.0,208.0,400.0
Nicolas Massu,200.0,179.0,379.0
Niels Desein,20.0,37.0,57.0
Nikola Mektic,27.0,38.0,65.0
Nikolay Davydenko,353.0,250.0,603.0
Nikoloz Basilashvili,121.0,108.0,229.0
Noah Rubin,26.0,30.0,56.0
Noam Okun,35.0,51.0,86.0
Norbert Gombos,51.0,57.0,108.0
Novak Djokovic,691.0,138.0,829.0
Oliver Marach,32.0,51.0,83.0
Olivier Patience,35.0,61.0,96.0
Olivier Rochus,187.0,219.0,406.0
Oscar Hernandez,67.0,103.0,170.0
Pablo Andujar,163.0,185.0,348.0
Pablo Carreno Busta,144.0,133.0,277.0
Pablo Cuevas,208.0,161.0,369.0
Paolo Lorenzi,107.0,177.0,284.0
Paradorn Srichaphan,146.0,137.0,283.0
Patrick Rafter,103.0,44.0,147.0
Paul Capdeville,85.0,90.0,175.0
Paul Goldstein,63.0,82.0,145.0
Paul-Henri Mathieu,260.0,251.0,511.0
Pavol Cervenak,22.0,31.0,53.0
Pedro Sousa,20.0,33.0,53.0
Pere Riba,75.0,89.0,164.0
Pete Sampras,120.0,47.0,167.0
Peter Gojowczyk,113.0,106.0,219.0
Peter Luczak,63.0,97.0,160.0
Peter Polansky,90.0,101.0,191.0
Peter Wessels,43.0,48.0,91.0
Philipp Kohlschreiber,388.0,298.0,686.0
Philipp Oswald,23.0,30.0,53.0
Philipp Petzschner,107.0,111.0,218.0
Pierre-Hugues Herbert,143.0,116.0,259.0
Potito Starace,132.0,169.0,301.0
Prakash Amritraj,33.0,39.0,72.0
Quentin Halys,23.0,39.0,62.0
Radek Stepanek,317.0,225.0,542.0
Radu Albot,113.0,106.0,219.0
Raemon Sluiter,72.0,92.0,164.0
Rafael Nadal,813.0,151.0,964.0
Rainer Schuettler,267.0,249.0,516.0
Rajeev Ram,123.0,144.0,267.0
Ramkumar Ramanathan,34.0,48.0,82.0
Ramon Delgado,53.0,75.0,128.0
Reilly Opelka,42.0,44.0,86.0
Renzo Olivo,51.0,55.0,106.0
Rhyne Williams,30.0,30.0,60.0
Ricardas Berankis,145.0,137.0,282.0
Ricardo Hocevar,24.0,29.0,53.0
Ricardo Mello,77.0,91.0,168.0
Richard Fromberg,28.0,48.0,76.0
Richard Gasquet,427.0,243.0,670.0
Richard Krajicek,88.0,47.0,135.0
Rik De Voest,101.0,83.0,184.0
Robby Ginepri,170.0,164.0,334.0
Robert Farah,31.0,24.0,55.0
Robert Kendrick,55.0,70.0,125.0
Roberto Bautista Agut,277.0,159.0,436.0
Roberto Carballes Baena,73.0,76.0,149.0
Robin Haase,215.0,235.0,450.0
Robin Soderling,204.0,119.0,323.0
Robin Vik,20.0,37.0,57.0
Roger Federer,968.0,206.0,1174.0
Rogerio Dutra Silva,85.0,90.0,175.0
Rohan Bopanna,30.0,36.0,66.0
Roko Karanusic,33.0,45.0,78.0
Ruben Bemelmans,117.0,114.0,231.0
Ruben Ramirez Hidalgo,90.0,130.0,220.0
Rui Machado,36.0,54.0,90.0
Ryan Harrison,171.0,157.0,328.0
Ryan Sweeting,82.0,70.0,152.0
Sam Groth,67.0,83.0,150.0
Sam Querrey,276.0,224.0,500.0
Santiago Giraldo,190.0,187.0,377.0
Santiago Ventura,64.0,60.0,124.0
Sargis Sargsian,88.0,118.0,206.0
Scott Draper,25.0,48.0,73.0
Sebastien De Chaunac,35.0,37.0,72.0
Sebastien Grosjean,251.0,167.0,418.0
Sebastien Lareau,23.0,34.0,57.0
Sergei Bubka,37.0,48.0,85.0
Sergi Bruguera,21.0,35.0,56.0
Sergio Roitman,18.0,50.0,68.0
Sergiy Stakhovsky,210.0,221.0,431.0
Simon Greul,59.0,86.0,145.0
Simon Stadler,43.0,36.0,79.0
Simone Bolelli,161.0,159.0,320.0
Simone Vagnozzi,35.0,41.0,76.0
Sjeng Schalken,150.0,133.0,283.0
Slava Dosedel,41.0,46.0,87.0
Somdev Devvarman,95.0,90.0,185.0
Stan Wawrinka,402.0,222.0,624.0
Stefan Koubek,170.0,193.0,363.0
